<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
model,generative_type,rank,catalan,french,italian,portuguese,romanian,spanish,parameters,vocabulary_size,context,commercial,merge
<a href='https://hf.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b</a>,📝,-@@100,-@@100,1.76@@1.76,2.04@@2.04,2.16@@2.16,-@@100,1.90@@1.90,32296476672.0,256000.0,8192.0,✗,✗
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct</a>,📝,-@@100,-@@100,4.19@@4.19,4.52@@4.52,-@@100,-@@100,4.81@@4.81,186112512.0,64000.0,2048.0,✓,✗
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B'>AI-Sweden-Models/Llama-3-8B</a>,🧠,-@@100,-@@100,-@@100,-@@100,3.25@@3.25,-@@100,-@@100,8030261248.0,128256.0,8192.0,✓,✗
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B'>AI-Sweden-Models/Llama-3-8B54a1b6f</a>,🧠,-@@100,-@@100,-@@100,-@@100,3.24@@3.24,-@@100,-@@100,8030261248.0,128256.0,8192.0,✓,✗
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B'>AI-Sweden-Models/Llama-3-8B19e0e3c</a>,🧠,-@@100,-@@100,-@@100,-@@100,3.23@@3.23,-@@100,-@@100,8030261248.0,128256.0,8192.0,✓,✗
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B-instruct'>AI-Sweden-Models/Llama-3-8B-instruct</a>,📝,-@@100,-@@100,-@@100,-@@100,3.08@@3.08,-@@100,-@@100,8030261248.0,128256.0,8192.0,✓,✗
<a href='https://hf.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf</a>,📝,-@@100,-@@100,1.96@@1.96,2.25@@2.25,2.39@@2.39,-@@100,2.22@@2.22,68976648192.0,32000.0,32764.0,✓,✗
<a href='https://hf.co/01-ai/Yi-6B'>01-ai/Yi-6B</a>,🧠,-@@100,-@@100,-@@100,-@@100,3.24@@3.24,-@@100,-@@100,6061035520.0,64000.0,4096.0,✓,✗
<a href='https://hf.co/01-ai/Yi-6B-Chat'>01-ai/Yi-6B-Chat</a>,📝,-@@100,-@@100,-@@100,-@@100,3.29@@3.29,-@@100,-@@100,6061035520.0,64000.0,4096.0,✗,✗
<a href='https://hf.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B</a>,🧠,-@@100,-@@100,2.16@@2.16,2.69@@2.69,2.66@@2.66,-@@100,2.39@@2.39,8829407232.0,64000.0,4096.0,✓,✗
<a href='https://hf.co/01-ai/Yi-1.5-6B'>01-ai/Yi-1.5-6B</a>,🧠,-@@100,-@@100,-@@100,-@@100,3.11@@3.11,-@@100,-@@100,6061035520.0,64000.0,4096.0,✓,✗
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,395881664.0,50368.0,8192.0,✓,✗
<a href='https://hf.co/HPLT/hplt2c_spa_checkpoints'>HPLT/hplt2c_spa_checkpoints</a>,🧠,-@@100,-@@100,3.95@@3.95,4.37@@4.37,4.17@@4.17,-@@100,4.09@@4.09,?,262272.0,2048.0,✓,✗
<a href='https://hf.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b</a>,📝,-@@100,-@@100,2.14@@2.14,2.49@@2.49,2.58@@2.58,-@@100,2.32@@2.32,8028033024.0,256000.0,8192.0,✗,✗
<a href='https://hf.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01</a>,📝,-@@100,-@@100,2.14@@2.14,2.52@@2.52,2.57@@2.57,-@@100,2.34@@2.34,34980831232.0,256000.0,8192.0,✗,✗
<a href='https://hf.co/HPLT/hplt2c_ita_checkpoints'>HPLT/hplt2c_ita_checkpoints</a>,🧠,-@@100,-@@100,4.18@@4.18,4.47@@4.47,4.51@@4.51,-@@100,4.17@@4.17,?,262272.0,2048.0,✓,✗
<a href='https://hf.co/HPLT/hplt2c_fra_checkpoints'>HPLT/hplt2c_fra_checkpoints</a>,🧠,-@@100,-@@100,3.75@@3.75,4.69@@4.69,4.65@@4.65,-@@100,4.35@@4.35,?,262272.0,2048.0,✓,✗
<a href='https://hf.co/HPLT/gpt-13b-nordic-prerelease'>HPLT/gpt-13b-nordic-prerelease</a>,🧠,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,14030361600.0,131072.0,4096.0,✓,✗
<a href='https://hf.co/Geotrend/distilbert-base-en-fr-de-no-da-cased'>Geotrend/distilbert-base-en-fr-de-no-da-cased</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,75547394.0,41710.0,512.0,✓,✗
<a href='https://hf.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,108867577.0,84985.0,512.0,✓,✗
<a href='https://hf.co/Geotrend/bert-base-en-no-cased'>Geotrend/bert-base-en-no-cased</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,111441410.0,33071.0,512.0,✓,✗
<a href='https://hf.co/Geotrend/bert-base-en-fr-de-no-da-cased'>Geotrend/bert-base-en-fr-de-no-da-cased</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,118118382.0,41710.0,512.0,✓,✗
<a href='https://hf.co/Geotrend/bert-base-da-cased'>Geotrend/bert-base-da-cased</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,103822082.0,23150.0,512.0,✓,✗
<a href='https://hf.co/Geotrend/bert-base-25lang-cased'>Geotrend/bert-base-25lang-cased</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,151311362.0,84985.0,512.0,✓,✗
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,-@@100,-@@100,1.85@@1.85,2.24@@2.24,2.27@@2.27,-@@100,2.10@@2.10,32296476672.0,256000.0,131072.0,✗,✗
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,561192082.0,250002.0,512.0,✓,✗
<a href='https://hf.co/FacebookAI/xlm-mlm-100-1280'>FacebookAI/xlm-mlm-100-1280</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,571499522.0,200000.0,512.0,✓,✗
<a href='https://hf.co/FacebookAI/roberta-large'>FacebookAI/roberta-large</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,355412571.0,50265.0,512.0,✓,✗
<a href='https://hf.co/FacebookAI/roberta-base'>FacebookAI/roberta-base</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,124697947.0,50265.0,512.0,✓,✗
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,93990500.0,65636.0,512.0,✓,✗
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,755625600.0,128256.0,8192.0,✓,✗
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,310266624.0,128256.0,8192.0,✓,✗
<a href='https://hf.co/EuroBERT/EuroBERT-2.1B'>EuroBERT/EuroBERT-2.1B</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,2403092736.0,128256.0,8192.0,✓,✗
<a href='https://hf.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b</a>,🧠,-@@100,-@@100,3.58@@3.58,4.13@@4.13,-@@100,-@@100,3.88@@3.88,68977172480.0,32032.0,8192.0,✗,✗
<a href='https://hf.co/CohereForAI/c4ai-command-r7b-12-2024'>CohereForAI/c4ai-command-r7b-12-2024</a>,📝,-@@100,-@@100,2.09@@2.09,2.54@@2.54,2.71@@2.71,-@@100,2.25@@2.25,8028033024.0,256000.0,132096.0,✗,✗
<a href='https://hf.co/FacebookAI/xlm-mlm-17-1280'>FacebookAI/xlm-mlm-17-1280</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,571499522.0,200000.0,512.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#minimal (zero-shot, val)</a>",🤔,-@@100,-@@100,2.05@@2.05,2.38@@2.38,2.32@@2.32,-@@100,2.02@@2.02,?,100256.0,272000.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,🤔,-@@100,-@@100,2.06@@2.06,2.37@@2.37,2.40@@2.40,-@@100,2.08@@2.08,4022468096.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,-@@100,-@@100,1.55@@1.55,1.88@@1.88,1.94@@1.94,-@@100,1.59@@1.59,81324862720.0,151936.0,262144.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#no-thinking (zero-shot, val)</a>",📝,-@@100,-@@100,1.93@@1.93,2.39@@2.39,2.39@@2.39,-@@100,-@@100,?,256128.0,1048576.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,-@@100,-@@100,1.86@@1.86,2.31@@2.31,2.52@@2.52,-@@100,2.11@@2.11,?,256128.0,1048576.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,-@@100,-@@100,1.74@@1.74,2.17@@2.17,2.37@@2.37,-@@100,2.02@@2.02,?,256128.0,1048576.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,-@@100,-@@100,1.84@@1.84,2.31@@2.31,2.33@@2.33,-@@100,2.03@@2.03,?,256128.0,2097152.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,-@@100,-@@100,2.19@@2.19,2.67@@2.67,2.64@@2.64,-@@100,2.37@@2.37,?,256128.0,1048576.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,-@@100,-@@100,1.94@@1.94,2.40@@2.40,2.48@@2.48,-@@100,2.20@@2.20,?,256128.0,1048576.0,✓,✗
fresh-xlm-roberta-base,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,278885778.0,250002.0,512.0,✓,✗
fresh-electra-small,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,13738755.0,32000.0,128.0,✓,✗
<a href='https://hf.co/four-two-labs/lynx-micro'>four-two-labs/lynx-micro</a>,📝,-@@100,-@@100,-@@100,-@@100,3.58@@3.58,-@@100,-@@100,2506172416.0,256000.0,8192.0,✗,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#thinking (zero-shot, val)</a>",🤔,-@@100,-@@100,1.75@@1.75,2.18@@2.18,2.34@@2.34,-@@100,1.85@@1.85,?,256128.0,1048576.0,✓,✗
<a href='https://hf.co/facebook/xlm-v-base'>facebook/xlm-v-base</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,778494722.0,901629.0,514.0,✓,✗
<a href='https://hf.co/facebook/MobileLLM-R1-950M-base'>facebook/MobileLLM-R1-950M-base</a>,🧠,-@@100,-@@100,3.21@@3.21,3.99@@3.99,3.77@@3.77,-@@100,3.56@@3.56,949685760.0,128256.0,4096.0,✗,✗
<a href='https://hf.co/facebook/MobileLLM-R1-360M'>facebook/MobileLLM-R1-360M</a>,📝,-@@100,-@@100,4.38@@4.38,4.79@@4.79,4.70@@4.70,-@@100,4.57@@4.57,359431168.0,128256.0,32768.0,✗,✗
<a href='https://hf.co/facebook/MobileLLM-R1-360M-base'>facebook/MobileLLM-R1-360M-base</a>,🧠,-@@100,-@@100,3.81@@3.81,4.44@@4.44,4.39@@4.39,-@@100,3.90@@3.90,359431168.0,128256.0,4096.0,✗,✗
<a href='https://hf.co/facebook/MobileLLM-R1-140M'>facebook/MobileLLM-R1-140M</a>,🤔,-@@100,-@@100,5.26@@5.26,6.15@@6.15,5.94@@5.94,-@@100,5.22@@5.22,140248512.0,128256.0,32768.0,✗,✗
<a href='https://hf.co/facebook/MobileLLM-R1-140M-base'>facebook/MobileLLM-R1-140M-base</a>,🧠,-@@100,-@@100,4.22@@4.22,4.67@@4.67,4.67@@4.67,-@@100,4.27@@4.27,140248512.0,128256.0,4096.0,✗,✗
<a href='https://hf.co/distilbert/distilroberta-base'>distilbert/distilroberta-base</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,82760793.0,50265.0,512.0,✓,✗
<a href='https://hf.co/distilbert/distilbert-base-multilingual-cased'>distilbert/distilbert-base-multilingual-cased</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,135445755.0,119547.0,512.0,✓,✗
<a href='https://hf.co/distilbert/distilbert-base-cased'>distilbert/distilbert-base-cased</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,65812036.0,28996.0,512.0,✓,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-7B</a>,🤔,-@@100,-@@100,2.87@@2.87,3.68@@3.68,-@@100,-@@100,3.07@@3.07,7615616512.0,152064.0,131072.0,✓,✗
<a href='https://hf.co/facebook/MobileLLM-R1-950M'>facebook/MobileLLM-R1-950M</a>,📝,-@@100,-@@100,4.29@@4.29,4.74@@4.74,4.79@@4.79,-@@100,4.40@@4.40,949685760.0,128256.0,32768.0,✗,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-32B</a>,🤔,-@@100,-@@100,2.13@@2.13,2.44@@2.44,2.73@@2.73,-@@100,2.17@@2.17,32763876352.0,152064.0,131072.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,-@@100,-@@100,1.61@@1.61,2.21@@2.21,-@@100,-@@100,2.13@@2.13,?,256128.0,1048576.0,✓,✗
<a href='https://hf.co/google/gemma-2-27b-it'>google/gemma-2-27b-it</a>,📝,-@@100,-@@100,1.92@@1.92,2.17@@2.17,2.20@@2.20,-@@100,2.02@@2.02,27227128320.0,256000.0,8192.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#minimal (zero-shot, val)</a>",🤔,-@@100,-@@100,1.64@@1.64,2.14@@2.14,2.11@@2.11,-@@100,1.78@@1.78,?,100256.0,272000.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,-@@100,-@@100,1.55@@1.55,1.91@@1.91,2.02@@2.02,-@@100,1.63@@1.63,?,100256.0,272000.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,-@@100,-@@100,1.94@@1.94,2.50@@2.50,2.25@@2.25,-@@100,2.02@@2.02,?,200019.0,128000.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,-@@100,-@@100,1.63@@1.63,2.21@@2.21,2.14@@2.14,-@@100,1.86@@1.86,?,200019.0,128000.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (zero-shot, val)</a>",📝,-@@100,-@@100,1.78@@1.78,2.30@@2.30,2.24@@2.24,-@@100,-@@100,?,100256.0,128000.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-4'>gpt-4-0613 (zero-shot, val)</a>",📝,-@@100,-@@100,1.87@@1.87,-@@100,-@@100,-@@100,-@@100,?,?,8191.0,✓,✗
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,574602505.0,250300.0,512.0,✓,✗
<a href='https://hf.co/google/gemma-7b'>google/gemma-7b</a>,🧠,-@@100,-@@100,2.49@@2.49,2.88@@2.88,-@@100,-@@100,2.72@@2.72,8537680896.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/google/gemma-7b-it'>google/gemma-7b-it</a>,📝,-@@100,-@@100,3.27@@3.27,3.86@@3.86,-@@100,-@@100,3.63@@3.63,8537680896.0,256000.0,8192.0,✗,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,-@@100,-@@100,1.69@@1.69,2.18@@2.18,2.11@@2.11,-@@100,1.86@@1.86,?,256128.0,1048576.0,✓,✗
<a href='https://hf.co/google/gemma-3n-E4B'>google/gemma-3n-E4B</a>,🧠,-@@100,-@@100,2.24@@2.24,2.70@@2.70,2.78@@2.78,-@@100,2.53@@2.53,7849978192.0,262400.0,?,✓,✗
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,-@@100,-@@100,3.90@@3.90,4.48@@4.48,4.42@@4.42,-@@100,3.94@@3.94,268098176.0,262144.0,32768.0,✓,✗
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,-@@100,-@@100,3.88@@3.88,4.19@@4.19,4.11@@4.11,-@@100,3.96@@3.96,268098176.0,262144.0,32768.0,✓,✗
<a href='https://hf.co/google/gemma-2b'>google/gemma-2b</a>,🧠,-@@100,-@@100,3.21@@3.21,3.66@@3.66,-@@100,-@@100,3.48@@3.48,2506172416.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/google/gemma-2b-it'>google/gemma-2b-it</a>,📝,-@@100,-@@100,3.25@@3.25,3.96@@3.96,-@@100,-@@100,3.55@@3.55,2506172416.0,256000.0,8192.0,✗,✗
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,-@@100,-@@100,1.97@@1.97,2.34@@2.34,2.48@@2.48,-@@100,2.04@@2.04,110468824832.0,151552.0,131072.0,✓,✗
<a href='https://hf.co/google/gemma-2-9b-it'>google/gemma-2-9b-it</a>,📝,-@@100,-@@100,2.08@@2.08,2.41@@2.41,-@@100,-@@100,2.20@@2.20,9241705984.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/google/gemma-2-2b'>google/gemma-2-2b</a>,🧠,-@@100,-@@100,2.86@@2.86,3.43@@3.43,-@@100,-@@100,3.26@@3.26,2614341888.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/google/gemma-2-2b-it'>google/gemma-2-2b-it</a>,📝,-@@100,-@@100,2.51@@2.51,2.99@@2.99,-@@100,-@@100,2.74@@2.74,2614341888.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/google/gemma-2-27b'>google/gemma-2-27b</a>,🧠,-@@100,-@@100,2.10@@2.10,2.44@@2.44,2.26@@2.26,-@@100,2.16@@2.16,27227128320.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,-@@100,-@@100,2.21@@2.21,2.49@@2.49,-@@100,-@@100,2.34@@2.34,27432406640.0,262144.0,?,✓,✗
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,-@@100,-@@100,2.06@@2.06,2.22@@2.22,2.24@@2.24,-@@100,1.93@@1.93,8190735360.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-14B</a>,🤔,-@@100,-@@100,2.30@@2.30,3.30@@3.30,2.91@@2.91,-@@100,2.48@@2.48,14770033664.0,152064.0,131072.0,✓,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B'>deepseek-ai/DeepSeek-R1-Distill-Llama-8B</a>,🤔,-@@100,-@@100,2.90@@2.90,3.43@@3.43,3.25@@3.25,-@@100,2.90@@2.90,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/allenai/OLMo-2-1124-7B-Instruct'>allenai/OLMo-2-1124-7B-Instruct</a>,📝,-@@100,-@@100,2.50@@2.50,3.05@@3.05,2.91@@2.91,-@@100,2.73@@2.73,7298617344.0,100352.0,4096.0,✓,✗
<a href='https://hf.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B</a>,🧠,-@@100,-@@100,2.37@@2.37,2.88@@2.88,3.06@@3.06,-@@100,2.85@@2.85,13716198400.0,100352.0,4096.0,✓,✗
<a href='https://hf.co/allenai/OLMo-2-1124-13B-Instruct'>allenai/OLMo-2-1124-13B-Instruct</a>,📝,-@@100,-@@100,2.27@@2.27,2.72@@2.72,2.70@@2.70,-@@100,2.45@@2.45,13716198400.0,100352.0,4096.0,✓,✗
<a href='https://hf.co/allenai/OLMo-2-0325-32B'>allenai/OLMo-2-0325-32B</a>,🧠,-@@100,-@@100,1.92@@1.92,2.42@@2.42,2.51@@2.51,-@@100,2.22@@2.22,32234279936.0,100352.0,4096.0,✓,✗
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B</a>,📝,-@@100,-@@100,2.12@@2.12,2.48@@2.48,2.62@@2.62,-@@100,2.32@@2.32,8030326784.0,128264.0,131072.0,✓,✗
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B</a>,📝,-@@100,-@@100,2.11@@2.11,2.55@@2.55,2.59@@2.59,-@@100,2.37@@2.37,8030326784.0,128264.0,131072.0,✓,✗
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO</a>,📝,-@@100,-@@100,2.10@@2.10,2.55@@2.55,2.55@@2.55,-@@100,2.38@@2.38,8030326784.0,128264.0,131072.0,✓,✗
<a href='https://hf.co/alea-institute/kl3m-003-3.7b'>alea-institute/kl3m-003-3.7b</a>,🧠,-@@100,-@@100,4.61@@4.61,4.93@@4.93,-@@100,-@@100,4.55@@4.55,3691382784.0,32768.0,4096.0,✓,✗
<a href='https://hf.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1</a>,🧠,-@@100,-@@100,2.13@@2.13,2.53@@2.53,2.48@@2.48,-@@100,2.38@@2.38,51570323328.0,65536.0,262144.0,✓,✗
<a href='https://hf.co/allenai/OLMo-2-1124-7B'>allenai/OLMo-2-1124-7B</a>,🧠,-@@100,-@@100,2.50@@2.50,3.09@@3.09,3.17@@3.17,-@@100,3.03@@3.03,7298617344.0,100352.0,4096.0,✓,✗
<a href='https://hf.co/ZurichNLP/unsup-simcse-xlm-roberta-base'>ZurichNLP/unsup-simcse-xlm-roberta-base</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,277453570.0,250002.0,514.0,✓,✗
<a href='https://hf.co/Twitter/twhin-bert-base'>Twitter/twhin-bert-base</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,279080594.0,250002.0,512.0,✓,✗
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama</a>,🧠,-@@100,-@@100,2.98@@2.98,3.66@@3.66,3.42@@3.42,-@@100,3.33@@3.33,7799574528.0,100096.0,4096.0,✓,✗
<a href='https://hf.co/TildeAI/TildeOpen-30b'>TildeAI/TildeOpen-30b#slow-tokenizer</a>,🧠,-@@100,-@@100,2.62@@2.62,3.07@@3.07,3.12@@3.12,-@@100,2.87@@2.87,30677882880.0,131072.0,65536.0,✓,✗
<a href='https://hf.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic</a>,📝,-@@100,-@@100,1.94@@1.94,2.20@@2.20,2.26@@2.26,-@@100,2.04@@2.04,28410968576.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/THUDM/GLM-4.1V-9B-Thinking'>THUDM/GLM-4.1V-9B-Thinking</a>,🤔,-@@100,-@@100,2.92@@2.92,3.32@@3.32,3.37@@3.37,-@@100,3.09@@3.09,10292777472.0,151552.0,65536.0,✓,✗
<a href='https://hf.co/Shekswess/trlm-135m'>Shekswess/trlm-135m</a>,📝,-@@100,-@@100,4.31@@4.31,4.67@@4.67,4.59@@4.59,-@@100,4.30@@4.30,134516160.0,49154.0,8192.0,✓,✗
<a href='https://hf.co/RekaAI/reka-flash-3'>RekaAI/reka-flash-3</a>,🤔,-@@100,-@@100,1.84@@1.84,2.24@@2.24,2.42@@2.42,-@@100,2.06@@2.06,20905482240.0,100352.0,32768.0,✓,✗
<a href='https://hf.co/RekaAI/reka-flash-3.1'>RekaAI/reka-flash-3.1</a>,🤔,-@@100,-@@100,1.94@@1.94,2.27@@2.27,2.49@@2.49,-@@100,2.16@@2.16,20905482240.0,100352.0,98304.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,-@@100,-@@100,1.66@@1.66,1.95@@1.95,2.15@@2.15,-@@100,1.81@@1.81,81324862720.0,151936.0,262144.0,✓,✗
<a href='https://hf.co/Twitter/twhin-bert-large'>Twitter/twhin-bert-large</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,561713298.0,250002.0,512.0,✓,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B</a>,🤔,-@@100,-@@100,3.72@@3.72,4.27@@4.27,4.19@@4.19,-@@100,3.95@@3.95,1777088000.0,151936.0,131072.0,✓,✗
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,7298011136.0,100278.0,65536.0,✗,✗
<a href='https://hf.co/almanach/camembert-base'>almanach/camembert-base</a>,🔍,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,-@@100,111246085.0,32005.0,512.0,✓,✗
