<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
model,generative_type,rank,catalan,french,italian,portuguese,romanian,spanish,parameters,vocabulary_size,context,commercial,merge
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.33@@2.33,2.39@@2.39,2.02@@2.02,2.34@@2.34,2.49@@2.49,2.52@@2.52,2.25@@2.25,8030326784.0,128264.0,131072.0,✓,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.36@@2.36,2.63@@2.63,1.98@@1.98,2.32@@2.32,2.43@@2.43,2.69@@2.69,2.13@@2.13,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.36@@2.36,2.33@@2.33,2.12@@2.12,2.40@@2.40,2.49@@2.49,2.50@@2.50,2.32@@2.32,22637328384.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,2.38@@2.38,2.30@@2.30,2.11@@2.11,2.43@@2.43,2.60@@2.60,2.61@@2.61,2.25@@2.25,?,128000.0,4096.0,✓,✗
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.43@@2.43,2.68@@2.68,2.10@@2.10,2.30@@2.30,2.50@@2.50,2.87@@2.87,2.17@@2.17,70599864480.0,131072.0,65536.0,✗,✗
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.45@@2.45,2.47@@2.47,2.00@@2.00,2.30@@2.30,2.63@@2.63,2.75@@2.75,2.57@@2.57,3402836480.0,100352.0,131072.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.49@@2.49,2.54@@2.54,2.19@@2.19,2.57@@2.57,2.61@@2.61,2.77@@2.77,2.29@@2.29,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.49@@2.49,2.33@@2.33,2.10@@2.10,2.48@@2.48,2.61@@2.61,2.70@@2.70,2.71@@2.71,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.49@@2.49,2.30@@2.30,2.40@@2.40,2.33@@2.33,2.56@@2.56,2.46@@2.46,2.90@@2.90,22637328384.0,128000.0,32768.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.51@@2.51,2.38@@2.38,2.27@@2.27,2.75@@2.75,2.61@@2.61,2.76@@2.76,2.33@@2.33,?,?,1047576.0,✓,✗
