<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot)</a>,📝,-@@100,?,?,1047576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (val)</a>,📝,-@@100,?,?,1047576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview (zero-shot, val)</a>",📝,-@@100,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14</a>,📝,-@@100,?,?,1047576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot)</a>,📝,-@@100,?,?,1047576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (val)</a>,📝,-@@100,?,?,1047576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview (val)</a>,📝,-@@100,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview (zero-shot)</a>,📝,-@@100,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14</a>,📝,-@@100,?,?,1047576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot)</a>,📝,-@@100,?,?,1047576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (val)</a>,📝,-@@100,?,?,1047576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,-@@100,?,200019.0,128000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,-@@100,?,200019.0,128000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#minimal (zero-shot, val)</a>",🤔,-@@100,?,100256.0,272000.0,✓,✗,✗,✓,-@@100,1.56@@1.56,-@@100
<a href='https://hf.co/timpal0l/BeagleCatMunin2'>timpal0l/BeagleCatMunin2 (val)</a>,🧠,-@@100,7241732096.0,32000.0,32768.0,✗,✓,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,-@@100,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf</a>,🧠,-@@100,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,-@@100,2.41@@2.41,-@@100
<a href='https://ollama.com/library/gemma3:12b-it-fp16'>ollama_chat/gemma3:12b-it-fp16 (val)</a>,📝,-@@100,12187325040.0,262144.0,128000.0,✓,✗,✗,✓,-@@100,1.70@@1.70,-@@100
<a href='https://ollama.com/library/gemma3:12b-it-q4_K_M'>ollama_chat/gemma3:12b-it-q4_K_M (val)</a>,📝,-@@100,12200000000.0,262144.0,128000.0,✓,✗,✗,✓,-@@100,1.75@@1.75,-@@100
<a href='https://ollama.com/library/gemma3:1b'>ollama_chat/gemma3:1b</a>,📝,-@@100,1000000000.0,262144.0,32768.0,✓,✗,✗,✓,-@@100,3.17@@3.17,-@@100
<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16</a>,📝,-@@100,?,?,?,✓,✗,✗,✓,-@@100,1.59@@1.59,-@@100
<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M</a>,📝,-@@100,27432062576.0,?,131072.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (val)</a>,📝,-@@100,27400000000.0,262144.0,128000.0,✓,✗,✗,✓,-@@100,1.68@@1.68,-@@100
<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M</a>,📝,-@@100,?,?,?,✓,✗,✗,✓,-@@100,2.26@@2.26,-@@100
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/google/gemma-3-4b-it-qat-q4_0-gguf</a>,📝,-@@100,3880099328.0,?,131072.0,✓,✗,✗,✓,-@@100,2.23@@2.23,-@@100
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,-@@100,7241732096.0,32000.0,32768.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (val)</a>,📝,-@@100,14700000000.0,100352.0,16384.0,✓,✗,✗,✓,-@@100,1.81@@1.81,-@@100
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-research-v0.4'>openGPT-X/Teuken-7B-instruct-research-v0.4</a>,📝,-@@100,7452725248.0,250680.0,4096.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/openai-community/gpt2-large'>openai-community/gpt2-large</a>,🧠,-@@100,811778816.0,50257.0,1024.0,✓,✗,(✓),✗,-@@100,4.32@@4.32,-@@100
<a href='https://hf.co/openai-community/gpt2-medium'>openai-community/gpt2-medium</a>,🧠,-@@100,379988992.0,50257.0,1024.0,✓,✗,(✓),✗,-@@100,4.30@@4.30,-@@100
<a href='https://hf.co/openai-community/gpt2'>openai-community/gpt2</a>,🧠,-@@100,137022720.0,50257.0,1024.0,✓,✗,(✓),✗,-@@100,4.36@@4.36,-@@100
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct (val)</a>,📝,-@@100,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (val)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4</a>,📝,-@@100,7452725248.0,250680.0,4096.0,✓,✗,(✓),✗,-@@100,3.28@@3.28,-@@100
"<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct (zero-shot, val)</a>",📝,-@@100,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct (val)</a>,📝,-@@100,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct (zero-shot)</a>,📝,-@@100,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking (zero-shot)</a>,📝,-@@100,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/stabilityai/stablelm-2-1_6b'>stabilityai/stablelm-2-1_6b</a>,🧠,-@@100,1644515328.0,100352.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking (val)</a>,📝,-@@100,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking (zero-shot, val)</a>",📝,-@@100,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/ssmits/Falcon2-5.5B-multilingual'>ssmits/Falcon2-5.5B-multilingual</a>,📝,-@@100,5465415680.0,65024.0,8192.0,✓,✓,(✓),✗,-@@100,-@@100,-@@100
"<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct (zero-shot, val)</a>",📝,-@@100,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct (val)</a>,📝,-@@100,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct (zero-shot)</a>,📝,-@@100,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8</a>,🤔,-@@100,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (zero-shot)</a>,🤔,-@@100,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (zero-shot, val)</a>",🤔,-@@100,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2#no-thinking</a>,📝,-@@100,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,-@@100,3.39@@3.39,-@@100
"<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct (zero-shot, val)</a>",📝,-@@100,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/nvidia/mistral-nemo-minitron-8b-base'>nvidia/mistral-nemo-minitron-8b-base</a>,🧠,-@@100,8414105600.0,131072.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/nvidia/mistral-nemo-minitron-8b-instruct'>nvidia/mistral-nemo-minitron-8b-instruct</a>,📝,-@@100,8414105600.0,131072.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,-@@100,?,?,200000.0,✓,✗,✗,✓,-@@100,1.49@@1.49,-@@100
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,-@@100,?,?,200000.0,✓,✗,✗,✓,-@@100,2.05@@2.05,-@@100
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,-@@100,?,?,200000.0,✓,✗,✗,✓,-@@100,1.79@@1.79,-@@100
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,-@@100,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (val)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct (zero-shot)</a>,📝,-@@100,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (zero-shot)</a>,📝,-@@100,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low (zero-shot)</a>,🤔,-@@100,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low (val)</a>,🤔,-@@100,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low (zero-shot, val)</a>",🤔,-@@100,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,-@@100,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,1.80@@1.80,-@@100,1.73@@1.73
"<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct (zero-shot, val)</a>",📝,-@@100,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium (zero-shot)</a>,🤔,-@@100,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium (val)</a>,🤔,-@@100,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium (zero-shot, val)</a>",🤔,-@@100,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://www.ordbogen.ai/docs/models/odin-large'>ordbogen/odin-large (zero-shot, val)</a>",🤔,-@@100,?,?,202752.0,✓,✗,✗,✓,1.54@@1.54,-@@100,-@@100
<a href='https://www.ordbogen.ai/docs/models/odin-large'>ordbogen/odin-large</a>,🤔,-@@100,?,?,202752.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://www.ordbogen.ai/docs/models/odin-large'>ordbogen/odin-large (zero-shot)</a>,🤔,-@@100,?,?,202752.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://www.ordbogen.ai/docs/models/odin-large'>ordbogen/odin-large (val)</a>,🤔,-@@100,?,?,202752.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://www.ordbogen.ai/docs/models/odin-medium'>ordbogen/odin-medium (zero-shot, val)</a>",🤔,-@@100,?,?,131072.0,✓,✗,✗,✓,1.63@@1.63,-@@100,-@@100
<a href='https://hf.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2</a>,🧠,-@@100,7241732096.0,32000.0,4096.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-@@100,117654272.0,250037.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/sentence-transformers/use-cmlm-multilingual'>sentence-transformers/use-cmlm-multilingual</a>,🔍,-@@100,472022179.0,501153.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-@@100,470927360.0,501153.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,1.92@@1.92
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct (zero-shot)</a>,📝,-@@100,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/openai/gpt-oss-120b'>openai/gpt-oss-120b (val)</a>,🤔,-@@100,120000000000.0,201088.0,131072.0,✓,✗,✗,✓,1.74@@1.74,-@@100,-@@100
<a href='https://hf.co/stabilityai/stablelm-3b-4e1t'>stabilityai/stablelm-3b-4e1t</a>,🧠,-@@100,2795443200.0,50304.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (val)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (val)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (val)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct (zero-shot, val)</a>",📝,-@@100,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (val)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct (val)</a>,📝,-@@100,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (val)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct (zero-shot)</a>,📝,-@@100,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (val)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (zero-shot, val)</a>",📝,-@@100,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,-@@100,-@@100,-@@100
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot)</a>,🤔,-@@100,?,?,400000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf</a>,📝,-@@100,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,-@@100,2.67@@2.67,-@@100
<a href='https://hf.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF</a>,📝,-@@100,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/stabilityai/stablelm-zephyr-3b'>stabilityai/stablelm-zephyr-3b</a>,📝,-@@100,2795443200.0,50304.0,2048.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (zero-shot)</a>,📝,-@@100,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (val)</a>,📝,-@@100,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct</a>,📝,-@@100,70553706496.0,128256.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,-@@100,70553706496.0,128256.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct</a>,📝,-@@100,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B</a>,🧠,-@@100,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/mhenrichsen/danskgpt-tiny-chat'>mhenrichsen/danskgpt-tiny-chat</a>,📝,-@@100,1100056576.0,32002.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/microsoft/Phi-3-mini-128k-instruct'>microsoft/Phi-3-mini-128k-instruct</a>,📝,-@@100,3821079552.0,32064.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,-@@100,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/microsoft/Phi-3-mini-4k-instruct'>microsoft/Phi-3-mini-4k-instruct</a>,📝,-@@100,3821079552.0,32064.0,2047.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus</a>,🤔,-@@100,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/microsoft/Phi-4-reasoning'>microsoft/Phi-4-reasoning</a>,🤔,-@@100,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,-@@100,3.31@@3.31,-@@100
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-@@100,278220290.0,251000.0,512.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/microsoft/phi-4'>microsoft/phi-4</a>,📝,-@@100,14659507200.0,100352.0,16384.0,✓,✗,(✓),✓,-@@100,2.08@@2.08,-@@100
<a href='https://hf.co/mideind/IceBERT-ic3'>mideind/IceBERT-ic3</a>,🔍,-@@100,162944162.0,50000.0,514.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/mideind/IceBERT-igc'>mideind/IceBERT-igc</a>,🔍,-@@100,124494162.0,50000.0,514.0,✓,✗,(✓),✗,-@@100,3.63@@3.63,-@@100
<a href='https://hf.co/mideind/IceBERT-large'>mideind/IceBERT-large</a>,🔍,-@@100,406390946.0,50000.0,514.0,✓,✗,(✓),✗,-@@100,3.30@@3.30,-@@100
