<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.21@@2.21,?,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,2.14@@2.14,2.39@@2.39,2.10@@2.10
<a href='https://hf.co/bineric/lynx-instruct-30b'>bineric/lynx-instruct-30b#thinking</a>,🤔,2.22@@2.22,?,30532122624.0,151936.0,262144.0,✓,✗,(✓),✗,2.13@@2.13,2.50@@2.50,2.03@@2.03
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.23@@2.23,N/A,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,2.14@@2.14,2.34@@2.34,2.20@@2.20
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.24@@2.24,33.93,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,2.07@@2.07,2.56@@2.56,2.09@@2.09
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.24@@2.24,26.88,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,2.11@@2.11,2.47@@2.47,2.13@@2.13
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,2.26@@2.26,0.33,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,2.15@@2.15,2.43@@2.43,2.19@@2.19
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.27@@2.27,0.08,?,?,?,✓,✗,(✓),✓,2.15@@2.15,2.48@@2.48,2.20@@2.20
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.30@@2.30,31.84,?,?,400000.0,✓,✗,✗,✓,2.13@@2.13,2.49@@2.49,2.28@@2.28
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.31@@2.31,?,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,2.14@@2.14,2.54@@2.54,2.24@@2.24
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.32@@2.32,1.17,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,2.08@@2.08,2.53@@2.53,2.34@@2.34
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.32@@2.32,5.28,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,2.17@@2.17,2.53@@2.53,2.25@@2.25
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.36@@2.36,12.0,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,2.26@@2.26,2.56@@2.56,2.26@@2.26
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.37@@2.37,N/A,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,2.36@@2.36,2.40@@2.40,2.35@@2.35
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.38@@2.38,8.44,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,2.28@@2.28,2.45@@2.45,2.39@@2.39
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.42@@2.42,23.06,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,2.25@@2.25,2.69@@2.69,2.32@@2.32
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.43@@2.43,N/A,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,2.37@@2.37,2.48@@2.48,2.44@@2.44
